bitchhhh rosa parks would've stayed her black ass at home. stoopid.,67,0.0,3,thetalkingjed
his use of that word pissed me off so much. they keep people's thinking limited on purpose and I hate it here https://t.co/d2ZoytO7o8,133,0.022556390977443608,7,thetalkingjed
just wanted to share these results so we all know there is at least some sense left in the world https://t.co/1nLQCozdyS,120,0.03333333333333333,5,thetalkingjed
in bed doing discrete math like if the kth hour didn't matter and the (k+1)th hour didn't matter this proves that everything is meaningless,139,0.0,5,thetalkingjed
protect furries,15,0.0,0,thetalkingjed
alone in the discord voice channel just cryin to nobody,55,0.0,0,thetalkingjed
in only 112 lines of code I trained a machine to infinitely divide by 0 and then yell at me about it 😌 u dummies couldn't do it like me,135,0.007407407407407408,1,thetalkingjed
"is abe l*ncoln ""kind of a twink""",32,0.0,3,thetalkingjed
"oomf just said ""abe lincoln is kind of a twink""",47,0.0,2,thetalkingjed
getting dressed = changing from my inside sweatpants to my outside sweatpants,77,0.0,1,thetalkingjed
"""nobody's doing it like me,"" I say, not doing it",48,0.020833333333333332,5,thetalkingjed
I love settling into bed to start my night 😌 who else got big plans to just be awake for no reason??,100,0.01,2,thetalkingjed
lemme lock my door again lmao,29,0.0,0,thetalkingjed
"just turned my phone volume up for the first time in three years, turns out liking/unliking tweets makes a fun little pop pop pop pop pop I have a zoom in seven minutes f",170,0.0058823529411764705,2,thetalkingjed
tell me they're not stanning mughal emperors on the tl 😭😭 what is going ON,74,0.02702702702702703,1,thetalkingjed
i hope you are doing ok,23,0.0,0,thetalkingjed
"o hey look he did it! it would be cool if you followed, perhaps he will continue to do more and maybe that will be nice for both of us 😌 https://t.co/lMcEUrHWKD",160,0.04375,7,thetalkingjed
"you've heard of ""running up that hill (a deal with god),"" now get ready for ""running through your nxgga house (like the tomb raider)""",133,0.0,10,thetalkingjed
"thinking about that first night when I closed my eyes and k k slider spoke directly into my soul, I haven't had a dream match that caliber of spirit energy ever since",166,0.012048192771084338,2,thetalkingjed
the sapphics got me Thinking too much,37,0.02702702702702703,0,thetalkingjed
😭😭 but the fruit is nice ig https://t.co/MCAxfLq7U0,51,0.09803921568627451,5,thetalkingjed
america b like we know u can't pay for food on account of we took all the money so here's some shredded cash we just printed and made into a papier mache heart hope u like :),174,0.0,4,thetalkingjed
I think the news people calling in from home should Not be made to wear business professional. maybe if they were comfortable they would say less awful things,158,0.012658227848101266,1,thetalkingjed
the ukulele is the saddest instrument cause you were just too depressed to commit to learning guitar,100,0.0,0,thetalkingjed
I will watch Ponyo soon,23,0.08695652173913043,0,thetalkingjed
wanna start posting art n public-facing shit on twitter (cause lowkey fuck IG). is it excessive if I make a new one? should I just switch the vibe here and go public? we'd lose the peepee poopoo tweets but feels maybe presumptuous to make a whole second account,261,0.01532567049808429,7,thetalkingjed
